iter	Logloss
0	0.6670304535
1	0.647082539
2	0.6230785778
3	0.6071303382
4	0.5917482819
5	0.580358215
6	0.5655599422
7	0.5526198735
8	0.5427196015
9	0.5346366869
10	0.5264964925
11	0.51731266
12	0.5107114927
13	0.5045747774
14	0.4980416696
15	0.4933613517
16	0.4895323005
17	0.4861837436
18	0.4821173579
19	0.4780697769
20	0.4746196714
21	0.4712002204
22	0.4694896658
23	0.4655501219
24	0.4626395654
25	0.4606917598
26	0.4581450874
27	0.4556634027
28	0.4547625062
29	0.4530876875
30	0.451476998
31	0.4498281066
32	0.4488378515
33	0.447570749
34	0.4463654296
35	0.4453558485
36	0.4439314169
37	0.4430405531
38	0.4413851017
39	0.4403116542
40	0.4393382898
41	0.4383375595
42	0.4372532792
43	0.4364782854
44	0.4353379961
45	0.4346779841
46	0.4340066269
47	0.4329303887
48	0.4325406264
49	0.4320454003
50	0.4309076851
51	0.4299844227
52	0.4296772246
53	0.4288348066
54	0.428017072
55	0.42752072
56	0.4268450371
57	0.4265236361
58	0.4259398677
59	0.4251735989
60	0.4247129001
61	0.4241132741
62	0.4237434879
63	0.4233824098
64	0.4227783697
65	0.4220878987
66	0.4214558154
67	0.4210889677
68	0.4208075263
69	0.4204113752
70	0.4200722125
71	0.4196393324
72	0.419169215
73	0.4187873876
74	0.4182265676
75	0.4177586323
76	0.4175220029
77	0.4173158456
78	0.4171163763
79	0.4167545007
80	0.4164234484
81	0.4161645265
82	0.4157168771
83	0.4154247289
84	0.4152290814
85	0.414963681
86	0.4145782076
87	0.4140167718
88	0.4135077168
89	0.4131011761
90	0.4128506698
91	0.4126399055
92	0.4121715535
93	0.4118974564
94	0.4112907483
95	0.411121374
96	0.4107541608
97	0.410450102
98	0.4100589265
99	0.4097221292
100	0.4092278439
101	0.409141652
102	0.408967599
103	0.4087916566
104	0.4085418484
105	0.4081363257
106	0.4077810244
107	0.407397468
108	0.4071201313
109	0.4068278517
110	0.4064801095
111	0.4061857509
112	0.4060463626
113	0.4058063555
114	0.4053014736
115	0.4050612545
116	0.4047555154
117	0.4044160698
118	0.4041161053
119	0.4039445993
120	0.4037896711
121	0.4033666115
122	0.4030878189
123	0.4028208069
124	0.4024661324
125	0.4019965601
126	0.4019093328
127	0.4017003619
128	0.4014551078
