iter	Passed	Remaining
0	6	813
1	13	877
2	18	762
3	28	882
4	33	835
5	36	756
6	40	697
7	43	655
8	47	637
9	51	607
10	55	598
11	67	654
12	75	675
13	80	661
14	90	689
15	100	711
16	108	711
17	116	717
18	126	733
19	137	747
20	147	758
21	155	755
22	160	738
23	170	746
24	180	752
25	190	756
26	195	739
27	205	742
28	216	745
29	226	747
30	231	731
31	241	732
32	251	732
33	262	734
34	267	719
35	278	718
36	283	703
37	292	700
38	302	698
39	313	697
40	318	683
41	328	679
42	337	675
43	342	661
44	352	657
45	363	655
46	370	647
47	380	642
48	385	628
49	395	624
50	405	620
51	416	616
52	421	604
53	431	599
54	436	587
55	445	581
56	455	575
57	465	569
58	475	563
59	480	552
60	490	546
61	500	540
62	510	535
63	516	524
64	529	521
65	537	512
66	547	506
67	557	499
68	563	490
69	574	483
70	580	474
71	590	467
72	599	459
73	604	449
74	615	442
75	622	433
76	634	428
77	645	421
78	653	413
79	658	403
80	663	392
81	666	381
82	669	371
83	673	361
84	678	351
85	681	340
86	684	330
87	688	320
88	691	310
89	695	301
90	699	292
91	702	282
92	706	273
93	710	264
94	714	255
95	718	246
96	721	237
97	724	229
98	729	220
99	732	212
100	735	203
101	739	195
102	743	187
103	746	179
104	750	171
105	754	163
106	758	155
107	761	148
108	765	140
109	768	132
110	773	125
111	777	117
112	780	110
113	783	103
114	787	95
115	790	88
116	795	81
117	799	74
118	802	67
119	806	60
120	810	53
121	815	46
122	818	39
123	821	33
124	826	26
125	835	19
126	844	13
127	856	6
128	866	0
